"Story","Title","Result","Date","Stability","Duration (s)"
"Mencari makanan promo","Find products on sale","ERROR","2019-11-24T22:03:30.664+07:00","0.0","0.11"
"Mencari makanan promo","Find products with the closest distance","ERROR","2019-11-24T22:01:45.788+07:00","0.0","0.03"
