"Story","Title","Result","Date","Stability","Duration (s)"
"Mencari makanan promo","Find products on sale","SUCCESS","2019-11-26T07:25:00.895+07:00","0.0","0.38"
"Mencari makanan promo","Find products with the closest distance","SUCCESS","2019-11-26T07:25:01.459+07:00","0.0","0.04"
