"Story","Title","Result","Date","Stability","Duration (s)"
"Mencari makanan promo","Find products on sale","PENDING","2019-11-25T17:39:55.635+07:00","0.0","0.44"
"Mencari makanan promo","Find products with the closest distance","PENDING","2019-11-25T17:39:56.307+07:00","0.0","0.02"
